sequence_id,frame_id,object_id,class_id,x1,y1,x2,y2
2019-09-16-12-52-12,000163,000004,2,16.000,124.000,19.000,126.000
2019-09-16-12-52-12,000164,000004,2,20.000,125.000,23.000,127.000
2019-09-16-12-52-12,000165,000004,2,26.000,123.000,29.000,129.000
2019-09-16-12-52-12,000166,000004,2,31.000,123.000,33.000,126.000
2019-09-16-12-52-12,000167,000004,2,36.000,124.000,38.000,125.000
2019-09-16-12-52-12,000168,000004,2,42.000,125.000,43.000,127.000
2019-09-16-12-52-12,000169,000004,2,46.000,123.000,50.000,127.000
2019-09-16-12-52-12,000170,000004,2,44.000,125.000,56.000,128.000
2019-09-16-12-52-12,000171,000004,2,57.000,123.000,61.000,127.000
2019-09-16-12-52-12,000172,000004,2,61.000,125.000,66.000,127.000
2019-09-16-12-52-12,000173,000004,2,59.000,123.000,69.000,127.000
2019-09-16-12-52-12,000174,000004,2,65.000,124.000,75.000,127.000
2019-09-16-12-52-12,000175,000004,2,69.000,125.000,79.000,127.000
2019-09-16-12-52-12,000176,000004,2,82.000,125.000,85.000,127.000
2019-09-16-12-52-12,000177,000004,2,86.000,124.000,91.000,127.000
2019-09-16-12-52-12,000178,000004,2,92.000,125.000,96.000,127.000
2019-09-16-12-52-12,000179,000004,2,91.000,125.000,101.000,128.000
2019-09-16-12-52-12,000180,000004,2,99.000,124.000,106.000,128.000
2019-09-16-12-52-12,000181,000004,2,105.000,125.000,110.000,128.000
2019-09-16-12-52-12,000182,000004,2,112.000,126.000,115.000,128.000
2019-09-16-12-52-12,000183,000004,2,112.000,124.000,121.000,127.000
2019-09-16-12-52-12,000184,000004,2,114.000,118.000,126.000,127.000
2019-09-16-12-52-12,000185,000004,2,118.000,125.000,130.000,128.000
2019-09-16-12-52-12,000186,000004,2,124.000,125.000,135.000,128.000
2019-09-16-12-52-12,000187,000004,2,130.000,125.000,140.000,129.000
2019-09-16-12-52-12,000188,000004,2,134.000,126.000,146.000,128.000
2019-09-16-12-52-12,000189,000004,2,139.000,126.000,150.000,129.000
2019-09-16-12-52-12,000190,000004,2,145.000,127.000,153.000,128.000
2019-09-16-12-52-12,000191,000004,2,154.000,125.000,160.000,129.000
2019-09-16-12-52-12,000192,000004,2,153.000,126.000,165.000,129.000
2019-09-16-12-52-12,000193,000004,2,154.000,125.000,167.000,129.000
2019-09-16-12-52-12,000194,000004,2,162.000,127.000,174.000,130.000
2019-09-16-12-52-12,000195,000004,2,158.000,127.000,179.000,130.000
2019-09-16-12-52-12,000196,000004,2,165.000,125.000,183.000,129.000
2019-09-16-12-52-12,000197,000004,2,175.000,126.000,189.000,133.000
2019-09-16-12-52-12,000198,000004,2,169.000,99.000,193.000,131.000
2019-09-16-12-52-12,000199,000004,2,175.000,98.000,199.000,131.000
2019-09-16-12-52-12,000200,000004,2,185.000,98.000,203.000,132.000
2019-09-16-12-52-12,000201,000004,2,189.000,98.000,207.000,131.000
2019-09-16-12-52-12,000202,000004,2,191.000,99.000,213.000,131.000
2019-09-16-12-52-12,000203,000004,2,193.000,98.000,217.000,131.000
2019-09-16-12-52-12,000204,000004,2,198.000,75.000,221.000,193.000
2019-09-16-12-52-12,000205,000004,2,202.000,77.000,224.000,132.000
2019-09-16-12-52-12,000206,000004,2,206.000,74.000,229.000,131.000
2019-09-16-12-52-12,000207,000004,2,212.000,74.000,234.000,131.000
2019-09-16-12-52-12,000208,000004,2,214.000,63.000,237.000,133.000
2019-09-16-12-52-12,000209,000004,2,220.000,48.000,240.000,204.000
2019-09-16-12-52-12,000210,000004,2,223.000,26.000,244.000,161.000
2019-09-16-12-52-12,000211,000004,2,225.000,12.000,247.000,250.000
2019-09-16-12-52-12,000212,000004,2,227.000,12.000,248.000,250.000
2019-09-16-12-52-12,000213,000004,2,234.000,79.000,243.000,90.000
2019-09-16-12-52-12,000214,000004,2,235.000,46.000,246.000,128.000
2019-09-16-12-52-12,000215,000004,2,236.000,46.000,248.000,250.000
2019-09-16-12-52-12,000216,000004,2,244.000,105.000,247.000,250.000
2019-09-16-12-52-12,000491,000025,2,25.000,81.000,27.000,83.000
2019-09-16-12-52-12,000492,000025,2,10.000,125.000,11.000,127.000
2019-09-16-12-52-12,000493,000025,2,12.000,125.000,15.000,127.000
2019-09-16-12-52-12,000494,000025,2,15.000,125.000,18.000,127.000
2019-09-16-12-52-12,000495,000025,2,18.000,126.000,21.000,127.000
2019-09-16-12-52-12,000496,000025,2,21.000,125.000,24.000,128.000
2019-09-16-12-52-12,000497,000025,2,22.000,124.000,28.000,128.000
2019-09-16-12-52-12,000498,000025,2,21.000,123.000,30.000,128.000
2019-09-16-12-52-12,000499,000025,2,22.000,122.000,34.000,128.000
2019-09-16-12-52-12,000500,000025,2,23.000,123.000,37.000,128.000
2019-09-16-12-52-12,000501,000025,2,31.000,123.000,40.000,127.000
2019-09-16-12-52-12,000502,000025,2,31.000,125.000,42.000,128.000
2019-09-16-12-52-12,000503,000025,2,34.000,125.000,46.000,128.000
2019-09-16-12-52-12,000504,000025,2,44.000,126.000,48.000,128.000
2019-09-16-12-52-12,000505,000025,2,32.000,125.000,51.000,128.000
2019-09-16-12-52-12,000506,000025,2,49.000,125.000,54.000,127.000
2019-09-16-12-52-12,000507,000025,2,52.000,125.000,57.000,128.000
2019-09-16-12-52-12,000508,000025,2,54.000,125.000,61.000,127.000
2019-09-16-12-52-12,000509,000025,2,55.000,125.000,63.000,127.000
2019-09-16-12-52-12,000510,000025,2,64.000,125.000,67.000,128.000
2019-09-16-12-52-12,000511,000025,2,67.000,125.000,71.000,127.000
2019-09-16-12-52-12,000512,000025,2,70.000,125.000,74.000,128.000
2019-09-16-12-52-12,000513,000025,2,68.000,126.000,77.000,128.000
2019-09-16-12-52-12,000514,000025,2,70.000,125.000,80.000,128.000
2019-09-16-12-52-12,000515,000025,2,74.000,126.000,83.000,127.000
2019-09-16-12-52-12,000516,000025,2,76.000,125.000,86.000,129.000
2019-09-16-12-52-12,000517,000025,2,79.000,124.000,89.000,128.000
2019-09-16-12-52-12,000518,000025,2,81.000,125.000,92.000,128.000
2019-09-16-12-52-12,000519,000025,2,86.000,124.000,95.000,128.000
2019-09-16-12-52-12,000520,000025,2,89.000,123.000,97.000,128.000
2019-09-16-12-52-12,000521,000025,2,90.000,123.000,101.000,128.000
2019-09-16-12-52-12,000522,000025,2,95.000,125.000,103.000,128.000
2019-09-16-12-52-12,000523,000025,2,97.000,125.000,105.000,128.000
2019-09-16-12-52-12,000524,000025,2,90.000,125.000,110.000,128.000
2019-09-16-12-52-12,000525,000025,2,107.000,125.000,113.000,128.000
2019-09-16-12-52-12,000526,000025,2,109.000,125.000,116.000,128.000
2019-09-16-12-52-12,000527,000025,2,112.000,125.000,120.000,128.000
2019-09-16-12-52-12,000528,000025,2,117.000,125.000,122.000,128.000
2019-09-16-12-52-12,000529,000025,2,117.000,124.000,126.000,128.000
2019-09-16-12-52-12,000530,000025,2,124.000,125.000,130.000,128.000
2019-09-16-12-52-12,000531,000025,2,112.000,124.000,131.000,129.000
2019-09-16-12-52-12,000532,000025,2,126.000,125.000,135.000,128.000
2019-09-16-12-52-12,000533,000025,2,114.000,126.000,139.000,128.000
2019-09-16-12-52-12,000534,000025,2,121.000,123.000,141.000,129.000
2019-09-16-12-52-12,000535,000025,2,133.000,126.000,145.000,128.000
2019-09-16-12-52-12,000536,000025,2,137.000,126.000,148.000,128.000
2019-09-16-12-52-12,000537,000025,2,140.000,124.000,150.000,128.000
2019-09-16-12-52-12,000538,000025,2,132.000,127.000,153.000,128.000
2019-09-16-12-52-12,000539,000025,2,134.000,127.000,157.000,128.000
2019-09-16-12-52-12,000540,000025,2,149.000,127.000,160.000,128.000
2019-09-16-12-52-12,000541,000025,2,141.000,127.000,162.000,129.000
2019-09-16-12-52-12,000542,000025,2,160.000,126.000,164.000,129.000
2019-09-16-12-52-12,000543,000025,2,142.000,127.000,169.000,130.000
2019-09-16-12-52-12,000544,000025,2,145.000,125.000,170.000,133.000
2019-09-16-12-52-12,000545,000025,2,148.000,121.000,173.000,133.000
2019-09-16-12-52-12,000546,000025,2,151.000,127.000,176.000,131.000
2019-09-16-12-52-12,000547,000025,2,154.000,122.000,179.000,131.000
2019-09-16-12-52-12,000548,000025,2,157.000,119.000,183.000,131.000
2019-09-16-12-52-12,000549,000025,2,160.000,127.000,185.000,130.000
2019-09-16-12-52-12,000550,000025,2,164.000,127.000,188.000,132.000
2019-09-16-12-52-12,000551,000025,2,167.000,100.000,190.000,133.000
2019-09-16-12-52-12,000552,000025,2,169.000,101.000,193.000,131.000
2019-09-16-12-52-12,000553,000025,2,174.000,99.000,198.000,133.000
2019-09-16-12-52-12,000554,000025,2,177.000,125.000,199.000,131.000
2019-09-16-12-52-12,000555,000025,2,177.000,100.000,203.000,131.000
2019-09-16-12-52-12,000556,000025,2,179.000,100.000,207.000,131.000
2019-09-16-12-52-12,000557,000025,2,180.000,99.000,208.000,133.000
2019-09-16-12-52-12,000558,000025,2,182.000,101.000,211.000,131.000
2019-09-16-12-52-12,000559,000025,2,185.000,50.000,215.000,170.000
2019-09-16-12-52-12,000560,000025,2,192.000,99.000,218.000,133.000
2019-09-16-12-52-12,000561,000025,2,190.000,53.000,220.000,159.000
2019-09-16-12-52-12,000562,000025,2,193.000,76.000,225.000,167.000
2019-09-16-12-52-12,000563,000025,2,200.000,84.000,228.000,133.000
2019-09-16-12-52-12,000564,000025,2,204.000,78.000,229.000,204.000
2019-09-16-12-52-12,000565,000025,2,201.000,78.000,232.000,133.000
2019-09-16-12-52-12,000566,000025,2,210.000,47.000,235.000,210.000
2019-09-16-12-52-12,000567,000025,2,209.000,49.000,237.000,142.000
2019-09-16-12-52-12,000568,000025,2,214.000,74.000,238.000,169.000
2019-09-16-12-52-12,000569,000025,2,214.000,47.000,240.000,187.000
2019-09-16-12-52-12,000570,000025,2,220.000,54.000,242.000,206.000
2019-09-16-12-52-12,000571,000025,2,219.000,48.000,243.000,151.000
2019-09-16-12-52-12,000572,000025,2,211.000,19.000,246.000,204.000
2019-09-16-12-52-12,000573,000025,2,224.000,12.000,247.000,240.000
2019-09-16-12-52-12,000574,000025,2,212.000,50.000,248.000,230.000
2019-09-16-12-52-12,000575,000025,2,232.000,48.000,247.000,234.000
2019-09-16-12-52-12,000576,000025,2,233.000,53.000,243.000,224.000
2019-09-16-12-52-12,000577,000025,2,233.000,16.000,246.000,244.000
2019-09-16-12-52-12,000578,000025,2,237.000,30.000,247.000,168.000
2019-09-16-12-52-12,000579,000025,2,235.000,12.000,248.000,232.000
2019-09-16-12-52-12,000580,000025,2,237.000,12.000,248.000,237.000
2019-09-16-12-52-12,000581,000025,2,240.000,59.000,248.000,250.000
2019-09-16-12-52-12,000582,000025,2,244.000,12.000,248.000,240.000
2019-09-16-12-52-12,000863,000043,2,11.000,126.000,13.000,128.000
2019-09-16-12-52-12,000864,000043,2,12.000,126.000,15.000,127.000
2019-09-16-12-52-12,000865,000043,2,14.000,126.000,17.000,128.000
2019-09-16-12-52-12,000866,000043,2,18.000,126.000,20.000,127.000
2019-09-16-12-52-12,000867,000043,2,20.000,123.000,22.000,127.000
2019-09-16-12-52-12,000868,000043,2,21.000,125.000,24.000,128.000
2019-09-16-12-52-12,000869,000043,2,21.000,125.000,26.000,128.000
2019-09-16-12-52-12,000870,000043,2,22.000,125.000,28.000,128.000
2019-09-16-12-52-12,000871,000043,2,23.000,122.000,29.000,128.000
2019-09-16-12-52-12,000872,000043,2,21.000,125.000,31.000,128.000
2019-09-16-12-52-12,000873,000043,2,28.000,126.000,34.000,128.000
2019-09-16-12-52-12,000874,000043,2,26.000,125.000,36.000,128.000
2019-09-16-12-52-12,000875,000043,2,26.000,125.000,38.000,128.000
2019-09-16-12-52-12,000876,000043,2,28.000,125.000,40.000,127.000
2019-09-16-12-52-12,000877,000043,2,33.000,126.000,42.000,128.000
2019-09-16-12-52-12,000878,000043,2,38.000,126.000,44.000,128.000
2019-09-16-12-52-12,000879,000043,2,40.000,124.000,46.000,128.000
2019-09-16-12-52-12,000880,000043,2,45.000,126.000,48.000,127.000
2019-09-16-12-52-12,000881,000043,2,23.000,125.000,49.000,128.000
2019-09-16-12-52-12,000882,000043,2,42.000,125.000,51.000,129.000
2019-09-16-12-52-12,000883,000043,2,44.000,127.000,54.000,128.000
2019-09-16-12-52-12,000884,000043,2,50.000,125.000,56.000,128.000
2019-09-16-12-52-12,000885,000043,2,53.000,126.000,57.000,128.000
2019-09-16-12-52-12,000886,000043,2,37.000,125.000,59.000,128.000
2019-09-16-12-52-12,000887,000043,2,38.000,124.000,61.000,128.000
2019-09-16-12-52-12,000888,000043,2,57.000,125.000,63.000,127.000
2019-09-16-12-52-12,000889,000043,2,62.000,126.000,66.000,128.000
2019-09-16-12-52-12,000890,000043,2,62.000,125.000,68.000,128.000
2019-09-16-12-52-12,000891,000043,2,46.000,125.000,69.000,128.000
2019-09-16-12-52-12,000892,000043,2,62.000,125.000,70.000,128.000
2019-09-16-12-52-12,000893,000043,2,67.000,125.000,72.000,128.000
