sample_id,sequence_id,frame_id,object_id,raw_label,class_id,class_name,bbox_source,image_source,image_path,label_path,notes
2019-09-16-12-52-12_000163,2019-09-16-12-52-12,000163,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000163.npy,images/2019-09-16-12-52-12/000163.png,labels/2019-09-16-12-52-12/000163.txt,
2019-09-16-12-52-12_000164,2019-09-16-12-52-12,000164,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000164.npy,images/2019-09-16-12-52-12/000164.png,labels/2019-09-16-12-52-12/000164.txt,
2019-09-16-12-52-12_000165,2019-09-16-12-52-12,000165,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000165.npy,images/2019-09-16-12-52-12/000165.png,labels/2019-09-16-12-52-12/000165.txt,
2019-09-16-12-52-12_000166,2019-09-16-12-52-12,000166,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000166.npy,images/2019-09-16-12-52-12/000166.png,labels/2019-09-16-12-52-12/000166.txt,
2019-09-16-12-52-12_000167,2019-09-16-12-52-12,000167,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000167.npy,images/2019-09-16-12-52-12/000167.png,labels/2019-09-16-12-52-12/000167.txt,
2019-09-16-12-52-12_000168,2019-09-16-12-52-12,000168,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000168.npy,images/2019-09-16-12-52-12/000168.png,labels/2019-09-16-12-52-12/000168.txt,
2019-09-16-12-52-12_000169,2019-09-16-12-52-12,000169,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000169.npy,images/2019-09-16-12-52-12/000169.png,labels/2019-09-16-12-52-12/000169.txt,
2019-09-16-12-52-12_000170,2019-09-16-12-52-12,000170,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000170.npy,images/2019-09-16-12-52-12/000170.png,labels/2019-09-16-12-52-12/000170.txt,
2019-09-16-12-52-12_000171,2019-09-16-12-52-12,000171,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000171.npy,images/2019-09-16-12-52-12/000171.png,labels/2019-09-16-12-52-12/000171.txt,
2019-09-16-12-52-12_000172,2019-09-16-12-52-12,000172,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000172.npy,images/2019-09-16-12-52-12/000172.png,labels/2019-09-16-12-52-12/000172.txt,
2019-09-16-12-52-12_000173,2019-09-16-12-52-12,000173,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000173.npy,images/2019-09-16-12-52-12/000173.png,labels/2019-09-16-12-52-12/000173.txt,
2019-09-16-12-52-12_000174,2019-09-16-12-52-12,000174,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000174.npy,images/2019-09-16-12-52-12/000174.png,labels/2019-09-16-12-52-12/000174.txt,
2019-09-16-12-52-12_000175,2019-09-16-12-52-12,000175,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000175.npy,images/2019-09-16-12-52-12/000175.png,labels/2019-09-16-12-52-12/000175.txt,
2019-09-16-12-52-12_000176,2019-09-16-12-52-12,000176,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000176.npy,images/2019-09-16-12-52-12/000176.png,labels/2019-09-16-12-52-12/000176.txt,
2019-09-16-12-52-12_000177,2019-09-16-12-52-12,000177,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000177.npy,images/2019-09-16-12-52-12/000177.png,labels/2019-09-16-12-52-12/000177.txt,
2019-09-16-12-52-12_000178,2019-09-16-12-52-12,000178,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000178.npy,images/2019-09-16-12-52-12/000178.png,labels/2019-09-16-12-52-12/000178.txt,
2019-09-16-12-52-12_000179,2019-09-16-12-52-12,000179,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000179.npy,images/2019-09-16-12-52-12/000179.png,labels/2019-09-16-12-52-12/000179.txt,
2019-09-16-12-52-12_000180,2019-09-16-12-52-12,000180,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000180.npy,images/2019-09-16-12-52-12/000180.png,labels/2019-09-16-12-52-12/000180.txt,
2019-09-16-12-52-12_000181,2019-09-16-12-52-12,000181,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000181.npy,images/2019-09-16-12-52-12/000181.png,labels/2019-09-16-12-52-12/000181.txt,
2019-09-16-12-52-12_000182,2019-09-16-12-52-12,000182,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000182.npy,images/2019-09-16-12-52-12/000182.png,labels/2019-09-16-12-52-12/000182.txt,
2019-09-16-12-52-12_000183,2019-09-16-12-52-12,000183,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000183.npy,images/2019-09-16-12-52-12/000183.png,labels/2019-09-16-12-52-12/000183.txt,
2019-09-16-12-52-12_000184,2019-09-16-12-52-12,000184,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000184.npy,images/2019-09-16-12-52-12/000184.png,labels/2019-09-16-12-52-12/000184.txt,
2019-09-16-12-52-12_000185,2019-09-16-12-52-12,000185,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000185.npy,images/2019-09-16-12-52-12/000185.png,labels/2019-09-16-12-52-12/000185.txt,
2019-09-16-12-52-12_000186,2019-09-16-12-52-12,000186,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000186.npy,images/2019-09-16-12-52-12/000186.png,labels/2019-09-16-12-52-12/000186.txt,
2019-09-16-12-52-12_000187,2019-09-16-12-52-12,000187,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000187.npy,images/2019-09-16-12-52-12/000187.png,labels/2019-09-16-12-52-12/000187.txt,
2019-09-16-12-52-12_000188,2019-09-16-12-52-12,000188,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000188.npy,images/2019-09-16-12-52-12/000188.png,labels/2019-09-16-12-52-12/000188.txt,
2019-09-16-12-52-12_000189,2019-09-16-12-52-12,000189,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000189.npy,images/2019-09-16-12-52-12/000189.png,labels/2019-09-16-12-52-12/000189.txt,
2019-09-16-12-52-12_000190,2019-09-16-12-52-12,000190,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000190.npy,images/2019-09-16-12-52-12/000190.png,labels/2019-09-16-12-52-12/000190.txt,
2019-09-16-12-52-12_000191,2019-09-16-12-52-12,000191,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000191.npy,images/2019-09-16-12-52-12/000191.png,labels/2019-09-16-12-52-12/000191.txt,
2019-09-16-12-52-12_000192,2019-09-16-12-52-12,000192,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000192.npy,images/2019-09-16-12-52-12/000192.png,labels/2019-09-16-12-52-12/000192.txt,
2019-09-16-12-52-12_000193,2019-09-16-12-52-12,000193,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000193.npy,images/2019-09-16-12-52-12/000193.png,labels/2019-09-16-12-52-12/000193.txt,
2019-09-16-12-52-12_000194,2019-09-16-12-52-12,000194,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000194.npy,images/2019-09-16-12-52-12/000194.png,labels/2019-09-16-12-52-12/000194.txt,
2019-09-16-12-52-12_000195,2019-09-16-12-52-12,000195,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000195.npy,images/2019-09-16-12-52-12/000195.png,labels/2019-09-16-12-52-12/000195.txt,
2019-09-16-12-52-12_000196,2019-09-16-12-52-12,000196,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000196.npy,images/2019-09-16-12-52-12/000196.png,labels/2019-09-16-12-52-12/000196.txt,
2019-09-16-12-52-12_000197,2019-09-16-12-52-12,000197,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000197.npy,images/2019-09-16-12-52-12/000197.png,labels/2019-09-16-12-52-12/000197.txt,
2019-09-16-12-52-12_000198,2019-09-16-12-52-12,000198,000004,3,2,car,range_angle.box,2019-09-16-12-52-12/range_angle_processed/000198.npy,images/2019-09-16-12-52-12/000198.png,labels/2019-09-16-12-52-12/000198.txt,
