sample_id,sequence_id,frame_id,split,representation,image_path,label_path
2019-09-16-12-52-12_000000,2019-09-16-12-52-12,000000,train,range_angle,images/2019-09-16-12-52-12/000000.png,labels/2019-09-16-12-52-12/000000.txt
2019-09-16-12-52-12_000001,2019-09-16-12-52-12,000001,train,range_angle,images/2019-09-16-12-52-12/000001.png,labels/2019-09-16-12-52-12/000001.txt
2019-09-16-12-52-12_000002,2019-09-16-12-52-12,000002,train,range_angle,images/2019-09-16-12-52-12/000002.png,labels/2019-09-16-12-52-12/000002.txt
2019-09-16-12-52-12_000003,2019-09-16-12-52-12,000003,train,range_angle,images/2019-09-16-12-52-12/000003.png,labels/2019-09-16-12-52-12/000003.txt
2019-09-16-12-52-12_000004,2019-09-16-12-52-12,000004,train,range_angle,images/2019-09-16-12-52-12/000004.png,labels/2019-09-16-12-52-12/000004.txt
2019-09-16-12-52-12_000005,2019-09-16-12-52-12,000005,train,range_angle,images/2019-09-16-12-52-12/000005.png,labels/2019-09-16-12-52-12/000005.txt
2019-09-16-12-52-12_000006,2019-09-16-12-52-12,000006,train,range_angle,images/2019-09-16-12-52-12/000006.png,labels/2019-09-16-12-52-12/000006.txt
2019-09-16-12-52-12_000007,2019-09-16-12-52-12,000007,train,range_angle,images/2019-09-16-12-52-12/000007.png,labels/2019-09-16-12-52-12/000007.txt
2019-09-16-12-52-12_000008,2019-09-16-12-52-12,000008,train,range_angle,images/2019-09-16-12-52-12/000008.png,labels/2019-09-16-12-52-12/000008.txt
2019-09-16-12-52-12_000009,2019-09-16-12-52-12,000009,train,range_angle,images/2019-09-16-12-52-12/000009.png,labels/2019-09-16-12-52-12/000009.txt
2019-09-16-12-52-12_000010,2019-09-16-12-52-12,000010,train,range_angle,images/2019-09-16-12-52-12/000010.png,labels/2019-09-16-12-52-12/000010.txt
2019-09-16-12-52-12_000011,2019-09-16-12-52-12,000011,train,range_angle,images/2019-09-16-12-52-12/000011.png,labels/2019-09-16-12-52-12/000011.txt
2019-09-16-12-52-12_000012,2019-09-16-12-52-12,000012,train,range_angle,images/2019-09-16-12-52-12/000012.png,labels/2019-09-16-12-52-12/000012.txt
2019-09-16-12-52-12_000013,2019-09-16-12-52-12,000013,train,range_angle,images/2019-09-16-12-52-12/000013.png,labels/2019-09-16-12-52-12/000013.txt
2019-09-16-12-52-12_000014,2019-09-16-12-52-12,000014,train,range_angle,images/2019-09-16-12-52-12/000014.png,labels/2019-09-16-12-52-12/000014.txt
2019-09-16-12-52-12_000015,2019-09-16-12-52-12,000015,train,range_angle,images/2019-09-16-12-52-12/000015.png,labels/2019-09-16-12-52-12/000015.txt
