epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.605,2.43251,3.05771,1.22148,0.00158,0.06422,0.00013,3e-05,1.30131,2.29348,0.56933,0.00047591,0.00047591,0.00047591
2,606.252,2.42823,2.90429,1.25748,0.00298,0.14679,0.00045,0.00012,1.27835,1.82941,0.59855,0.000920819,0.000920819,0.000920819
3,918.119,2.49769,2.84549,1.28202,0.00368,0.0367,0.00049,0.00012,1.14871,2.96373,0.58799,0.00133429,0.00133429,0.00133429
4,1205.32,2.47547,2.77884,1.2752,0.00166,0.04128,0.00038,7e-05,1.59468,1.91813,0.62156,0.00128753,0.00128753,0.00128753
5,1504.25,2.44274,2.73668,1.25428,0.0072,0.03211,0.00101,0.00018,1.45107,1.78168,0.71056,0.00124037,0.00124037,0.00124037
6,1791.88,2.51933,2.74622,1.25066,0.05416,0.01376,0.00814,0.00194,1.38177,1.73379,0.54979,0.00119322,0.00119322,0.00119322
7,2077.73,2.48641,2.67492,1.21118,0.01656,0.02752,0.00177,0.00031,1.39266,1.91714,0.60645,0.00114606,0.00114606,0.00114606
8,2355,2.41794,2.6542,1.20486,0.00536,0.12844,0.00287,0.00067,1.47491,1.66264,0.62074,0.0010989,0.0010989,0.0010989
9,2645.17,2.40149,2.60063,1.19948,0.0104,0.12385,0.00325,0.00081,1.44251,1.52046,0.59007,0.00105174,0.00105174,0.00105174
10,2947.96,2.48536,2.60442,1.23427,0.01387,0.07339,0.00207,0.00046,1.51576,1.59232,0.62792,0.00100459,0.00100459,0.00100459
11,3226.35,2.46701,2.57292,1.20892,0.01753,0.11927,0.00711,0.00211,1.37698,1.43844,0.59326,0.00095743,0.00095743,0.00095743
12,3505.63,2.44908,2.52195,1.19455,0.02637,0.04587,0.00592,0.00132,1.48162,1.36213,0.61721,0.000910273,0.000910273,0.000910273
13,3820.55,2.3834,2.48168,1.1739,0.02546,0.0367,0.00454,0.00118,1.38257,1.35761,0.57971,0.000863116,0.000863116,0.000863116
14,4101.4,2.37631,2.44152,1.17795,0.03466,0.07339,0.0062,0.00149,1.25557,1.37076,0.54653,0.000815959,0.000815959,0.000815959
15,4377.8,2.42145,2.40218,1.17903,0.027,0.08257,0.00608,0.00164,1.39908,1.30177,0.56237,0.000768802,0.000768802,0.000768802
16,4659.63,2.37547,2.42108,1.17448,0.03219,0.07339,0.00771,0.00209,1.44255,1.32229,0.60979,0.000721645,0.000721645,0.000721645
17,4947.04,2.41034,2.40043,1.169,0.02579,0.06422,0.00495,0.00117,1.44591,1.27383,0.60646,0.000674488,0.000674488,0.000674488
18,5227.29,2.45147,2.40119,1.17188,0.04131,0.06881,0.00882,0.00256,1.49271,1.25032,0.63379,0.000627331,0.000627331,0.000627331
19,5505.29,2.41473,2.34042,1.15368,0.07742,0.09633,0.01834,0.00485,1.51487,1.20204,0.62088,0.000580174,0.000580174,0.000580174
20,5807.94,2.5169,2.39331,1.20376,0.07304,0.14679,0.01495,0.00513,1.45714,1.31398,0.60128,0.000533017,0.000533017,0.000533017
21,6081.48,2.13283,1.82301,1.01896,0.08215,0.08716,0.01963,0.00571,1.42395,1.1946,0.61241,0.00048586,0.00048586,0.00048586
22,6348.03,2.11296,1.73833,0.99967,0.1214,0.08716,0.02388,0.00882,1.48791,1.25561,0.62003,0.000438703,0.000438703,0.000438703
23,6615.95,2.09989,1.68013,1.00831,0.07285,0.08716,0.02853,0.00738,1.47085,1.17565,0.59331,0.000391546,0.000391546,0.000391546
24,6885.13,2.12022,1.7034,1.0049,0.0742,0.11927,0.04008,0.012,1.42808,1.14751,0.6074,0.000344389,0.000344389,0.000344389
25,7155.29,2.09858,1.66018,0.99606,0.13406,0.11009,0.04888,0.01245,1.3955,1.04835,0.60131,0.000297232,0.000297232,0.000297232
26,7432.5,2.10984,1.65922,1.0168,0.1304,0.09633,0.03615,0.01166,1.41838,1.04155,0.59421,0.000250075,0.000250075,0.000250075
27,7710.79,2.08373,1.60729,1.00015,0.08858,0.08716,0.02713,0.0073,1.39302,1.08299,0.60166,0.000202918,0.000202918,0.000202918
28,8060.91,2.084,1.59185,1.00028,0.0911,0.10092,0.02656,0.00747,1.43034,1.06618,0.59334,0.000155761,0.000155761,0.000155761
29,8341.86,2.1139,1.5955,0.98713,0.07381,0.05505,0.013,0.00351,1.43198,1.14926,0.59726,0.000108604,0.000108604,0.000108604
30,8622.32,2.05713,1.55018,0.96857,0.07225,0.06881,0.01568,0.00462,1.37804,1.08437,0.5889,6.1447e-05,6.1447e-05,6.1447e-05
