epoch,lr/pg0,lr/pg1,lr/pg2,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),time,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss
1,0.00047591,0.00047591,0.00047591,0.00013,3e-05,0.00158,0.06422,316.605,2.43251,3.05771,1.22148,1.30131,2.29348,0.56933
2,0.000920819,0.000920819,0.000920819,0.00045,0.00012,0.00298,0.14679,606.252,2.42823,2.90429,1.25748,1.27835,1.82941,0.59855
3,0.00133429,0.00133429,0.00133429,0.00049,0.00012,0.00368,0.0367,918.119,2.49769,2.84549,1.28202,1.14871,2.96373,0.58799
4,0.00128753,0.00128753,0.00128753,0.00038,7e-05,0.00166,0.04128,1205.32,2.47547,2.77884,1.2752,1.59468,1.91813,0.62156
5,0.00124037,0.00124037,0.00124037,0.00101,0.00018,0.0072,0.03211,1504.25,2.44274,2.73668,1.25428,1.45107,1.78168,0.71056
6,0.00119322,0.00119322,0.00119322,0.00814,0.00194,0.05416,0.01376,1791.88,2.51933,2.74622,1.25066,1.38177,1.73379,0.54979
7,0.00114606,0.00114606,0.00114606,0.00177,0.00031,0.01656,0.02752,2077.73,2.48641,2.67492,1.21118,1.39266,1.91714,0.60645
8,0.0010989,0.0010989,0.0010989,0.00287,0.00067,0.00536,0.12844,2355,2.41794,2.6542,1.20486,1.47491,1.66264,0.62074
9,0.00105174,0.00105174,0.00105174,0.00325,0.00081,0.0104,0.12385,2645.17,2.40149,2.60063,1.19948,1.44251,1.52046,0.59007
10,0.00100459,0.00100459,0.00100459,0.00207,0.00046,0.01387,0.07339,2947.96,2.48536,2.60442,1.23427,1.51576,1.59232,0.62792
11,0.00095743,0.00095743,0.00095743,0.00711,0.00211,0.01753,0.11927,3226.35,2.46701,2.57292,1.20892,1.37698,1.43844,0.59326
12,0.000910273,0.000910273,0.000910273,0.00592,0.00132,0.02637,0.04587,3505.63,2.44908,2.52195,1.19455,1.48162,1.36213,0.61721
13,0.000863116,0.000863116,0.000863116,0.00454,0.00118,0.02546,0.0367,3820.55,2.3834,2.48168,1.1739,1.38257,1.35761,0.57971
14,0.000815959,0.000815959,0.000815959,0.0062,0.00149,0.03466,0.07339,4101.4,2.37631,2.44152,1.17795,1.25557,1.37076,0.54653
15,0.000768802,0.000768802,0.000768802,0.00608,0.00164,0.027,0.08257,4377.8,2.42145,2.40218,1.17903,1.39908,1.30177,0.56237
16,0.000721645,0.000721645,0.000721645,0.00771,0.00209,0.03219,0.07339,4659.63,2.37547,2.42108,1.17448,1.44255,1.32229,0.60979
17,0.000674488,0.000674488,0.000674488,0.00495,0.00117,0.02579,0.06422,4947.04,2.41034,2.40043,1.169,1.44591,1.27383,0.60646
18,0.000627331,0.000627331,0.000627331,0.00882,0.00256,0.04131,0.06881,5227.29,2.45147,2.40119,1.17188,1.49271,1.25032,0.63379
19,0.000580174,0.000580174,0.000580174,0.01834,0.00485,0.07742,0.09633,5505.29,2.41473,2.34042,1.15368,1.51487,1.20204,0.62088
20,0.000533017,0.000533017,0.000533017,0.01495,0.00513,0.07304,0.14679,5807.94,2.5169,2.39331,1.20376,1.45714,1.31398,0.60128
21,0.00048586,0.00048586,0.00048586,0.01963,0.00571,0.08215,0.08716,6081.48,2.13283,1.82301,1.01896,1.42395,1.1946,0.61241
22,0.000438703,0.000438703,0.000438703,0.02388,0.00882,0.1214,0.08716,6348.03,2.11296,1.73833,0.99967,1.48791,1.25561,0.62003
23,0.000391546,0.000391546,0.000391546,0.02853,0.00738,0.07285,0.08716,6615.95,2.09989,1.68013,1.00831,1.47085,1.17565,0.59331
24,0.000344389,0.000344389,0.000344389,0.04008,0.012,0.0742,0.11927,6885.13,2.12022,1.7034,1.0049,1.42808,1.14751,0.6074
25,0.000297232,0.000297232,0.000297232,0.04888,0.01245,0.13406,0.11009,7155.29,2.09858,1.66018,0.99606,1.3955,1.04835,0.60131
26,0.000250075,0.000250075,0.000250075,0.03615,0.01166,0.1304,0.09633,7432.5,2.10984,1.65922,1.0168,1.41838,1.04155,0.59421
27,0.000202918,0.000202918,0.000202918,0.02713,0.0073,0.08858,0.08716,7710.79,2.08373,1.60729,1.00015,1.39302,1.08299,0.60166
28,0.000155761,0.000155761,0.000155761,0.02656,0.00747,0.0911,0.10092,8060.91,2.084,1.59185,1.00028,1.43034,1.06618,0.59334
29,0.000108604,0.000108604,0.000108604,0.013,0.00351,0.07381,0.05505,8341.86,2.1139,1.5955,0.98713,1.43198,1.14926,0.59726
30,6.1447e-05,6.1447e-05,6.1447e-05,0.01568,0.00462,0.07225,0.06881,8622.32,2.05713,1.55018,0.96857,1.37804,1.08437,0.5889
